time,tem,heating rate,,,
min,K,K/min,,,
5.85,356.87,61.0034188,99.80139027,0.001655081,Validation
5.866666667,357,60.85227273,99.80139027,0.001655081,Training
5.883333333,357.18,60.71048159,99.80139027,0.001655081,Test
5.9,357.35,60.56779661,99.80139027,0.001655081,Training
5.916666667,357.5,60.42253521,99.80139027,0.001655081,Training
5.933333333,357.71,60.28820225,99.80139027,0.001655081,Training
5.95,357.84,60.14117647,99.80139027,0.001655081,Training
5.966666667,358.03,60.00502793,99.80139027,0.001655081,Training
5.983333333,358.19,59.86462396,99.80139027,0.001655081,Training
6,358.36,59.72666667,99.80139027,0.001655081,Test
6.016666667,358.54,59.59113573,99.80139027,0.001655081,Training
6.033333333,358.7,59.45303867,99.80139027,0.001655081,Training
6.05,358.87,59.31735537,99.80139027,0.001655081,Training
6.066666667,359.04,59.18241758,99.80139027,0.001655081,Training
6.083333333,359.21,59.04821918,99.80139027,0.001655081,Training
6.1,359.38,58.9147541,99.80139027,0.001655081,Training
6.116666667,359.56,58.78365123,99.75173784,0.000827541,Training
6.133333333,359.71,58.64836957,99.75173784,0.000827541,Validation
6.15,359.9,58.5203252,99.75173784,0.000827541,Training
6.166666667,360.05,58.38648649,99.75173784,0.000827541,Training
6.183333333,360.23,58.25822102,99.75173784,0.000827541,Training
6.2,360.41,58.13064516,99.75173784,0.000827541,Training
6.216666667,360.54,57.99571046,99.75173784,0.000827541,Training
6.233333333,360.76,57.87593583,99.75173784,0.000827541,Training
6.25,360.89,57.7424,99.75173784,0.000827541,Training
6.266666667,361.08,57.61914894,99.75173784,0.000827541,Validation
6.283333333,361.24,57.49177719,99.75173784,0.000827541,Test
6.3,361.39,57.36349206,99.75173784,0.000827541,Training
6.316666667,361.59,57.24379947,99.75173784,0.000827541,Training
6.333333333,361.72,57.11368421,99.75173784,0.000827541,Training
6.35,361.92,56.99527559,99.75173784,0.000827541,Training
6.366666667,362.07,56.86963351,99.75173784,0.000827541,Test
6.383333333,362.23,56.7462141,99.75173784,0.000827541,Training
6.4,362.42,56.628125,99.75173784,0.000827541,Validation
6.416666667,362.56,56.50285714,99.75173784,0.000827541,Training
6.433333333,362.75,56.38601036,99.75173784,0.000827541,Training
6.45,362.91,56.26511628,99.75173784,0.000827541,Training
6.466666667,363.08,56.14639175,99.75173784,0.000827541,Training
6.483333333,363.25,56.02827763,99.75173784,0.000827541,Training
6.5,363.41,55.90923077,99.75173784,0.000827541,Training
6.516666667,363.58,55.79232737,99.75173784,0.000827541,Training
6.533333333,363.75,55.67602041,99.75173784,0.000827541,Training
6.55,363.91,55.55877863,99.75173784,0.000827541,Validation
6.566666667,364.09,55.44517766,99.75173784,0.000827541,Training
6.583333333,364.26,55.33063291,99.75173784,0.000827541,Test
6.6,364.41,55.21363636,99.75173784,0.000827541,Training
6.616666667,364.61,55.10478589,99.75173784,0.000827541,Training
6.633333333,364.74,54.98592965,99.75173784,0.000827541,Training
6.65,364.95,54.87969925,99.75173784,0.000827541,Training
6.666666667,365.1,54.765,99.75173784,0.000827541,Training
6.683333333,365.26,54.65236908,99.75173784,0.001655081,Training
6.7,365.45,54.54477612,99.75173784,0.001655081,Training
6.716666667,365.58,54.42878412,99.75173784,0.001655081,Validation
6.733333333,365.79,54.32524752,99.75173784,0.001655081,Training
6.75,365.93,54.21185185,99.75173784,0.001655081,Training
6.766666667,366.11,54.10492611,99.75173784,0.001655081,Training
6.783333333,366.29,53.9985258,99.75173784,0.001655081,Test
6.8,366.43,53.88676471,99.75173784,0.001655081,Training
6.816666667,366.64,53.78581907,99.75173784,0.001655081,Training
6.833333333,366.78,53.67512195,99.7020854,0.00082754,Training
6.85,366.96,53.57080292,99.7020854,0.00082754,Training
6.866666667,367.14,53.46699029,99.7020854,0.00082754,Training
6.883333333,367.29,53.35932203,99.7020854,0.00082754,Test
